buyer_id,date,hour,spend
11,5/22/18,14,$3.34 
11,5/22/18,15,$8.20 
11,5/22/18,16,$5.05 
11,5/22/18,17,$0.86 
11,5/22/18,18,$1.90 
11,5/22/18,19,$4.04 
11,5/22/18,20,$7.60 
11,5/22/18,21,$10.98 
11,5/22/18,22,$13.03 
11,5/22/18,23,$7.48 
11,5/23/18,0,$4.03 
11,5/23/18,1,$5.05 
11,5/23/18,2,$3.63 
11,5/23/18,3,$1.88 
11,5/23/18,15,$2.28 
11,5/23/18,16,$9.88 
11,5/23/18,17,$19.35 
11,5/23/18,18,$8.86 
11,5/23/18,19,$11.00 
11,5/23/18,20,$11.23 
11,5/23/18,21,$10.12 
11,5/23/18,22,$8.99 
11,5/23/18,23,$6.96 
11,5/24/18,0,$5.19 
11,5/24/18,1,$4.18 
11,5/24/18,2,$2.65 
11,5/24/18,3,$2.10 
11,5/24/18,4,$1.09 
11,5/24/18,5,$0.99 
11,5/24/18,6,$0.75 
11,5/24/18,7,$0.58 
11,5/24/18,8,$0.93 
11,5/24/18,9,$2.34 
11,5/24/18,10,$6.55 
11,5/24/18,11,$10.85 
11,5/24/18,12,$6.76 
11,5/24/18,13,$3.24 
11,5/24/18,14,$3.60 
11,5/24/18,15,$5.59 
11,5/24/18,16,$5.77 
11,5/24/18,17,$3.10 
11,5/24/18,18,$7.33 
11,5/24/18,19,$18.89 
11,5/24/18,20,$41.25 
11,5/24/18,21,$64.40 
11,5/24/18,22,$57.39 
11,5/24/18,23,$8.97 
11,5/25/18,0,$8.16 
11,5/25/18,1,$8.45 
11,5/25/18,2,$8.31 
11,5/25/18,3,$6.31 
11,5/27/18,16,$20.44 
11,5/27/18,17,$166.17 
11,5/27/18,18,$51.42 
11,5/27/18,19,$3.02 
11,5/27/18,20,$5.55 
11,5/27/18,21,$7.55 
11,5/27/18,22,$8.04 
11,5/27/18,23,$7.56 
11,5/28/18,0,$6.76 
11,5/28/18,1,$7.10 
11,5/28/18,2,$8.38 
11,5/28/18,3,$64.21 
11,5/28/18,4,$58.52 
11,5/28/18,5,$9.36 
11,5/28/18,6,$1.99 
11,5/28/18,7,$1.28 
11,5/28/18,8,$1.11 
11,5/28/18,9,$1.71 
11,5/28/18,10,$5.16 
11,5/28/18,11,$15.87 
11,5/28/18,12,$20.78 
11,5/28/18,13,$11.92 
11,5/28/18,14,$13.16 
11,5/28/18,15,$14.27 
11,5/28/18,16,$13.35 
11,5/28/18,17,$12.59 
11,5/28/18,18,$11.60 
11,5/28/18,19,$10.30 
11,5/28/18,20,$12.13 
11,5/28/18,21,$11.48 
11,5/28/18,22,$11.04 
11,5/28/18,23,$12.88 
11,5/29/18,0,$15.73 
11,5/29/18,1,$14.78 
11,5/29/18,2,$13.37 
11,5/29/18,3,$9.01 
11,5/29/18,14,$83.37 
11,5/29/18,15,$8.56 
11,5/29/18,16,$14.56 
11,5/29/18,17,$25.24 
11,5/29/18,18,$34.27 
11,5/29/18,19,$8.18 
11,5/29/18,20,$8.61 
11,5/29/18,21,$8.19 
11,5/29/18,22,$3.84 
11,5/29/18,23,$3.01 
11,5/30/18,0,$3.28 
11,5/30/18,1,$3.31 
11,5/30/18,2,$3.39 
11,5/30/18,3,$1.44 
11,5/30/18,14,$115.28 
11,5/30/18,15,$55.35 
11,5/30/18,16,$13.71 
11,5/30/18,17,$24.61 
11,5/30/18,18,$33.00 
11,5/30/18,19,$37.90 
11,5/30/18,20,$31.76 
11,5/30/18,21,$7.46 
11,5/30/18,22,$5.08 
11,5/30/18,23,$2.69 
11,5/31/18,0,$0.73 
11,5/31/18,1,$0.15 
11,6/4/18,14,$14.85 
11,6/4/18,15,$160.50 
11,6/4/18,16,$55.95 
11,6/4/18,17,$30.60 
11,6/4/18,22,$0.16 
11,6/5/18,2,$3.89 
11,6/5/18,3,$6.41 
11,6/5/18,4,$3.67 
11,6/5/18,5,$2.41 
11,6/5/18,6,$1.38 
11,6/5/18,7,$0.93 
11,6/5/18,8,$0.83 
11,6/5/18,9,$1.71 
11,6/5/18,10,$4.68 
11,6/5/18,11,$10.53 
11,6/5/18,12,$17.76 
11,6/5/18,13,$21.56 
11,6/5/18,14,$23.54 
11,6/5/18,15,$19.20 
11,6/5/18,16,$0.10 
11,6/5/18,17,$0.02 
11,6/5/18,18,$0.00 
11,6/5/18,19,$14.62 
11,6/5/18,20,$21.97 
11,6/5/18,21,$15.20 
11,6/5/18,22,$11.16 
11,6/5/18,23,$9.85 
11,6/6/18,0,$8.92 
11,6/6/18,1,$8.16 
11,6/6/18,2,$1.70 
11,6/6/18,3,$1.14 
11,6/6/18,13,$65.36 
11,6/6/18,14,$137.43 
11,6/6/18,16,$16.24 
11,6/6/18,17,$25.29 
11,6/6/18,18,$100.54 
11,6/6/18,19,$236.31 
11,6/6/18,20,$58.11 
11,6/6/18,21,$17.24 
11,6/6/18,22,$11.77 
11,6/7/18,3,$0.14 
11,6/11/18,14,$2.45 
11,6/11/18,17,$1.17 
11,6/12/18,4,$13.91 
11,6/12/18,5,$21.81 
11,6/12/18,6,$12.13 
11,6/12/18,7,$4.06 
11,6/12/18,8,$1.49 
11,6/12/18,9,$1.15 
11,6/12/18,10,$1.80 
11,6/12/18,11,$1.97 
11,6/12/18,12,$2.22 
